Plant ID,Plant,Group,Treatment,Temp,CO2,Day 0,Day 0,Day 0,Day 1,Day 1,Day 1,Day 2,Day 2 ,Day 2,Day 3,Day 3,Day 3,Day 4,Day 4,Day 4,Day 5,Day 5,Day 5,Day 6,Day 6,Day 6,Day 7,Day 7,Day 7,Day 8,Day 8,Day 8,Day 9,Day 9,Day 9,Final_adaxial_AVG,Final_Abaxial_AVG,LCI_4,LCI_4,LCI_4,LCI_5,LCI_5,LCI_5,LCI_6,LCI_6,LCI_6,LCI_7,LCI_7,LCI_7,LCI_9,LCI_9,LCI_9,LCI_15,LCI_15,LCI_15,Final_LCI_Avg,Fresh_Mass,DryMass,Leaf_Disc
B0101,P.vulgaris,B01,Control,29,400,,,,,,,,,,,,,41,49,54,,,,,,,45,37,32,,,,,,,38.00,52.00,0.33,0.11,0.00,,,,,,,0.00,0.25,0.00,,,,,,,0.13,24.35,3.02,0.0055
B0102,P.vulgaris,B01,Control,29,400,,,,,,,,,,,,,41,31,41,,,,,,,33,34,34,,,,,,,33.67,56.33,0.00,0.00,0.00,,,,,,,0.24,0.16,0.21,,,,,,,0.20,26.76,3.27,0.0068
B0103,P.vulgaris,B01,Control,29,400,,,,,,,,,,,,,43,35,32,,,,,,,59,31,30,,,,,,,40.00,50.00,0.18,0.15,0.00,,,,,,,0.17,0.00,0.00,,,,,,,0.09,35.78,4.55,0.0062
B0104,P.vulgaris,B01,Control,29,400,,,,,,,,,,,,,50,45,46,,,,,,,43,44,38,,,,,,,41.67,48.33,0.00,0.15,0.28,,,,,,,0.00,0.00,0.11,,,,,,,0.00,24.60,2.89,0.0058
B0201,P.vulgaris,B02,Warming,37,400,,,,,,,,,,,,,39,29,28,,,,,,,25,37,36,,,,,,,32.67,57.33,0.17,0.00,0.00,,,,,,,0.00,0.00,0.00,,,,,,,0.00,25.55,3.55,0.0087
B0202,P.vulgaris,B02,Warming,37,400,,,,,,,,,,,,,39,25,27,,,,,,,34,31,33,,,,,,,32.67,57.33,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,,,,,,,0.00,20.40,2.91,0.0059
B0203,P.vulgaris,B02,Warming,37,400,,,,,,,,,,,,,37,35,29,,,,,,,37,30,30,,,,,,,32.33,57.67,0.00,0.00,0.00,,,,,,,0.00,0.09,0.00,,,,,,,0.04,16.57,2.20,0.0071
B0204,P.vulgaris,B02,Warming,37,400,,,,,,,,,,,,,32,25,24,,,,,,,26,29,26,,,,,,,27.00,63.00,0.10,0.13,0.00,,,,,,,0.00,0.17,0.09,,,,,,,0.09,16.01,2.15,0.0069
B0301,P.vulgaris,B03,eCO2,29,800,,,,,,,,,,,,,31,35,25,,,,,,,36,40,31,,,,,,,35.67,54.33,0.00,0.17,0.16,,,,,,,0.00,0.00,0.00,,,,,,,0.00,28.31,4.55,0.0095
B0302,P.vulgaris,B03,eCO2,29,800,,,,,,,,,,,,,30,29,26,,,,,,,29,30,30,,,,,,,29.67,60.33,0.19,0.30,0.32,,,,,,,0.07,0.03,0.18,,,,,,,0.05,37.75,5.92,0.0094
B0303,P.vulgaris,B03,eCO2,29,800,,,,,,,,,,,,,36,42,41,,,,,,,32,59,30,,,,,,,40.33,49.67,0.24,0.16,0.35,,,,,,,0.14,0.14,0.19,,,,,,,0.14,52.68,9.08,0.0122
B0304,P.vulgaris,B03,eCO2,29,800,,,,,,,,,,,,,34,35,28,,,,,,,35,32,29,,,,,,,32.00,58.00,0.09,0.19,0.27,,,,,,,0.18,0.26,0.17,,,,,,,0.22,37.64,5.68,0.0097
B0401,P.vulgaris,B04,Warming+eCO2,37,800,,,,,,,,,,,,,33,33,25,,,,,,,,,,,,,,,,,,0.28,0.19,0.11,,,,,,,,,,,,,,,,,,,
B0402,P.vulgaris,B04,Warming+eCO2,37,800,,,,,,,,,,,,,31,28,25,,,,,,,29,28,27,,,,,,,28.00,62.00,0.25,0.19,0.06,,,,,,,0.28,0.06,0.13,,,,,,,0.17,20.47,4.25,0.0132
B0403,P.vulgaris,B04,Warming+eCO2,37,800,,,,,,,,,,,,,37,32,24,,,,,,,35,25,23,,,,,,,27.67,62.33,0.31,0.21,0.24,,,,,,,0.34,0.38,0.36,,,,,,,0.36,10.67,3.94,0.0145
B0404,P.vulgaris,B04,Warming+eCO2,37,800,,,,,,,,,,,,,38,29,26,,,,,,,32,24,24,,,,,,,26.67,63.33,0.05,0.14,0.07,,,,,,,0.43,0.93,0.30,,,,,,,0.68,23.08,4.47,0.013
Sl0101,S.lycopersicum,Sl01,Warming+eCO2,38,800,,,,,,,,,,,,,,,,40,30,,,,,22,28,,,,,19,26,,23.75,66.25,,,,,,,,,,,,,,,,,,,,3.48,0.57,
Sl0103,S.lycopersicum,Sl01,Warming+eCO2,38,800,,,,,,,,,,,,,,,,30,25,,,,,15,32,,,,,18,22,,21.75,68.25,,,,,,,,,,,,,,,,,,,,4.91,0.76,
Sl0104,S.lycopersicum,Sl01,Warming+eCO2,38,800,,,,,,,,,,,,,,,,18,28,,,,,20,12,,,,,25,17,,18.50,71.50,,,,,,,,,,,,,,,,,,,,6.78,1.14,
